n	d1	max_h
10000	0.173	337
100000	0.158	1192
1000000	0.158	1208
10000000	0.158	1224
100000000	0.158	1241
1000000000	0.158	1257
10000000000	0.172	1295
100000000000	0.172	1491
1000000000000	0.172	1687
10000000000000	0.172	1883
