d1	d3	h	sat
0.010000	0.1	1	1.000000
0.010000	0.2	1	1.000000
0.010000	0.3	1	1.000000
0.010000	0.4	1	1.000000
0.010000	0.5	1	0.999999
0.010000	0.6	2	0.999999
0.010000	0.7	2	0.999998
0.010000	0.8	2	0.999998
0.010000	0.9	2	0.999997
0.010000	1.0	2	0.999997
0.010000	1.1	2	0.999996
0.010000	1.2	2	0.999996
0.010000	1.3	2	0.999995
0.010000	1.4	2	0.999995
0.010000	1.5	2	0.999994
0.010000	1.6	2	0.999993
0.010000	1.7	2	0.999992
0.010000	1.8	2	0.999992
0.010000	1.9	2	0.999991
0.010000	2.0	2	0.999990
0.010000	2.1	2	0.999989
0.010000	2.2	2	0.999988
0.010000	2.3	2	0.999987
0.010000	2.4	2	0.999986
0.010000	2.5	2	0.999985
0.010000	2.6	2	0.999984
0.010000	2.7	2	0.999983
0.010000	2.8	2	0.999981
0.010000	2.9	2	0.999980
0.010000	3.0	2	0.999979
0.010000	3.1	2	0.999977
0.010000	3.2	2	0.999976
0.010000	3.3	2	0.999975
0.010000	3.4	2	0.999973
0.010000	3.5	2	0.999972
0.010000	3.6	2	0.999970
0.010000	3.7	2	0.999969
0.010000	3.8	2	0.999967
0.010000	3.9	2	0.999965
0.010000	4.0	2	0.999964
0.010000	4.1	2	0.999962
0.010000	4.2	2	0.999960
0.010000	4.3	2	0.999958
0.010000	4.4	2	0.999956
0.010000	4.5	2	0.999954
0.010000	4.6	2	0.999952
0.010000	4.7	2	0.999950
0.010000	4.8	2	0.999948
0.010000	4.9	2	0.999946
0.010000	5.0	3	0.999939
0.020000	0.1	1	1.000000
0.020000	0.2	2	0.999999
0.020000	0.3	2	0.999998
0.020000	0.4	2	0.999997
0.020000	0.5	2	0.999995
0.020000	0.6	2	0.999993
0.020000	0.7	2	0.999991
0.020000	0.8	2	0.999988
0.020000	0.9	2	0.999985
0.020000	1.0	2	0.999982
0.020000	1.1	2	0.999979
0.020000	1.2	2	0.999975
0.020000	1.3	2	0.999970
0.020000	1.4	2	0.999966
0.020000	1.5	2	0.999961
0.020000	1.6	2	0.999956
0.020000	1.7	2	0.999950
0.020000	1.8	3	0.999941
0.020000	1.9	3	0.999934
0.020000	2.0	3	0.999927
0.020000	2.1	3	0.999919
0.020000	2.2	3	0.999911
0.020000	2.3	3	0.999902
0.020000	2.4	3	0.999893
0.020000	2.5	3	0.999884
0.020000	2.6	3	0.999874
0.020000	2.7	3	0.999864
0.020000	2.8	3	0.999853
0.020000	2.9	3	0.999842
0.020000	3.0	3	0.999830
0.020000	3.1	3	0.999818
0.020000	3.2	3	0.999805
0.020000	3.3	3	0.999792
0.020000	3.4	3	0.999779
0.020000	3.5	3	0.999765
0.020000	3.6	3	0.999750
0.020000	3.7	3	0.999735
0.020000	3.8	3	0.999719
0.020000	3.9	3	0.999703
0.020000	4.0	3	0.999686
0.020000	4.1	3	0.999669
0.020000	4.2	4	0.999642
0.020000	4.3	4	0.999623
0.020000	4.4	4	0.999603
0.020000	4.5	4	0.999582
0.020000	4.6	4	0.999561
0.020000	4.7	4	0.999539
0.020000	4.8	4	0.999516
0.020000	4.9	4	0.999493
0.020000	5.0	4	0.999469
0.030000	0.1	2	0.999999
0.030000	0.2	2	0.999997
0.030000	0.3	2	0.999994
0.030000	0.4	2	0.999990
0.030000	0.5	2	0.999985
0.030000	0.6	2	0.999979
0.030000	0.7	2	0.999972
0.030000	0.8	2	0.999964
0.030000	0.9	2	0.999954
0.030000	1.0	3	0.999941
0.030000	1.1	3	0.999928
0.030000	1.2	3	0.999914
0.030000	1.3	3	0.999899
0.030000	1.4	3	0.999882
0.030000	1.5	3	0.999864
0.030000	1.6	3	0.999844
0.030000	1.7	3	0.999823
0.030000	1.8	3	0.999801
0.030000	1.9	3	0.999777
0.030000	2.0	3	0.999751
0.030000	2.1	3	0.999724
0.030000	2.2	3	0.999696
0.030000	2.3	3	0.999665
0.030000	2.4	3	0.999633
0.030000	2.5	4	0.999591
0.030000	2.6	4	0.999554
0.030000	2.7	4	0.999515
0.030000	2.8	4	0.999474
0.030000	2.9	4	0.999431
0.030000	3.0	4	0.999386
0.030000	3.1	4	0.999339
0.030000	3.2	4	0.999290
0.030000	3.3	4	0.999238
0.030000	3.4	4	0.999184
0.030000	3.5	4	0.999127
0.030000	3.6	4	0.999068
0.030000	3.7	4	0.999006
0.030000	3.8	4	0.998942
0.030000	3.9	5	0.998861
0.030000	4.0	5	0.998789
0.030000	4.1	5	0.998714
0.030000	4.2	5	0.998636
0.030000	4.3	5	0.998554
0.030000	4.4	5	0.998470
0.030000	4.5	5	0.998381
0.030000	4.6	5	0.998289
0.030000	4.7	5	0.998193
0.030000	4.8	5	0.998093
0.030000	4.9	5	0.997990
0.030000	5.0	6	0.997861
0.040000	0.1	2	0.999998
0.040000	0.2	2	0.999994
0.040000	0.3	2	0.999988
0.040000	0.4	2	0.999979
0.040000	0.5	2	0.999967
0.040000	0.6	2	0.999953
0.040000	0.7	3	0.999933
0.040000	0.8	3	0.999912
0.040000	0.9	3	0.999888
0.040000	1.0	3	0.999861
0.040000	1.1	3	0.999830
0.040000	1.2	3	0.999796
0.040000	1.3	3	0.999759
0.040000	1.4	3	0.999719
0.040000	1.5	3	0.999675
0.040000	1.6	3	0.999627
0.040000	1.7	3	0.999575
0.040000	1.8	4	0.999510
0.040000	1.9	4	0.999449
0.040000	2.0	4	0.999382
0.040000	2.1	4	0.999311
0.040000	2.2	4	0.999236
0.040000	2.3	4	0.999155
0.040000	2.4	4	0.999069
0.040000	2.5	4	0.998978
0.040000	2.6	4	0.998881
0.040000	2.7	4	0.998779
0.040000	2.8	5	0.998656
0.040000	2.9	5	0.998539
0.040000	3.0	5	0.998414
0.040000	3.1	5	0.998283
0.040000	3.2	5	0.998144
0.040000	3.3	5	0.997997
0.040000	3.4	5	0.997843
0.040000	3.5	5	0.997679
0.040000	3.6	6	0.997488
0.040000	3.7	6	0.997303
0.040000	3.8	6	0.997107
0.040000	3.9	6	0.996900
0.040000	4.0	6	0.996681
0.040000	4.1	6	0.996450
0.040000	4.2	7	0.996185
0.040000	4.3	7	0.995922
0.040000	4.4	7	0.995645
0.040000	4.5	7	0.995351
0.040000	4.6	7	0.995039
0.040000	4.7	8	0.994682
0.040000	4.8	8	0.994325
0.040000	4.9	8	0.993945
0.040000	5.0	8	0.993541
0.050000	0.1	2	0.999997
0.050000	0.2	2	0.999989
0.050000	0.3	2	0.999977
0.050000	0.4	2	0.999960
0.050000	0.5	3	0.999934
0.050000	0.6	3	0.999905
0.050000	0.7	3	0.999870
0.050000	0.8	3	0.999829
0.050000	0.9	3	0.999781
0.050000	1.0	3	0.999727
0.050000	1.1	3	0.999667
0.050000	1.2	3	0.999600
0.050000	1.3	4	0.999518
0.050000	1.4	4	0.999434
0.050000	1.5	4	0.999341
0.050000	1.6	4	0.999240
0.050000	1.7	4	0.999130
0.050000	1.8	4	0.999011
0.050000	1.9	4	0.998882
0.050000	2.0	4	0.998743
0.050000	2.1	5	0.998581
0.050000	2.2	5	0.998417
0.050000	2.3	5	0.998241
0.050000	2.4	5	0.998052
0.050000	2.5	5	0.997849
0.050000	2.6	5	0.997632
0.050000	2.7	5	0.997400
0.050000	2.8	6	0.997134
0.050000	2.9	6	0.996864
0.050000	3.0	6	0.996575
0.050000	3.1	6	0.996266
0.050000	3.2	6	0.995935
0.050000	3.3	7	0.995560
0.050000	3.4	7	0.995176
0.050000	3.5	7	0.994764
0.050000	3.6	7	0.994322
0.050000	3.7	8	0.993822
0.050000	3.8	8	0.993305
0.050000	3.9	8	0.992746
0.050000	4.0	9	0.992116
0.050000	4.1	9	0.991454
0.050000	4.2	9	0.990736
0.050000	4.3	10	0.989916
0.050000	4.4	10	0.989048
0.050000	4.5	11	0.988052
0.050000	4.6	12	0.986944
0.050000	4.7	13	0.985698
0.050000	4.8	14	0.984281
0.050000	4.9	15	0.982643
0.050000	5.0	16	0.980714
0.060000	0.1	2	0.999995
0.060000	0.2	2	0.999982
0.060000	0.3	2	0.999961
0.060000	0.4	3	0.999929
0.060000	0.5	3	0.999888
0.060000	0.6	3	0.999837
0.060000	0.7	3	0.999776
0.060000	0.8	3	0.999704
0.060000	0.9	3	0.999621
0.060000	1.0	3	0.999526
0.060000	1.1	4	0.999411
0.060000	1.2	4	0.999288
0.060000	1.3	4	0.999151
0.060000	1.4	4	0.998999
0.060000	1.5	4	0.998831
0.060000	1.6	4	0.998647
0.060000	1.7	5	0.998434
0.060000	1.8	5	0.998210
0.060000	1.9	5	0.997967
0.060000	2.0	5	0.997701
0.060000	2.1	5	0.997413
0.060000	2.2	5	0.997100
0.060000	2.3	6	0.996743
0.060000	2.4	6	0.996371
0.060000	2.5	6	0.995968
0.060000	2.6	6	0.995531
0.060000	2.7	7	0.995037
0.060000	2.8	7	0.994518
0.060000	2.9	7	0.993953
0.060000	3.0	7	0.993341
0.060000	3.1	8	0.992646
0.060000	3.2	8	0.991910
0.060000	3.3	8	0.991106
0.060000	3.4	9	0.990189
0.060000	3.5	9	0.989208
0.060000	3.6	10	0.988085
0.060000	3.7	11	0.986834
0.060000	3.8	11	0.985456
0.060000	3.9	12	0.983855
0.060000	4.0	13	0.982013
0.060000	4.1	15	0.979822
0.060000	4.2	16	0.977236
0.060000	4.3	19	0.973941
0.060000	4.4	23	0.969552
0.060000	4.5	31	0.962729
0.060000	4.6	83	0.010220
0.060000	4.7	38	0.009250
0.060000	4.8	28	0.008373
0.060000	4.9	23	0.007579
0.060000	5.0	20	0.006860
0.070000	0.1	2	0.999993
0.070000	0.2	2	0.999973
0.070000	0.3	3	0.999938
0.070000	0.4	3	0.999888
0.070000	0.5	3	0.999823
0.070000	0.6	3	0.999743
0.070000	0.7	3	0.999645
0.070000	0.8	3	0.999529
