n	d1	max_h
10000	0.1724	584
100000	0.1723	2328
1000000	0.1723	3231
10000000	0.1723	4042
100000000	0.1723	4846
1000000000	0.1723	5649
10000000000	0.1723	6452
100000000000	0.1723	7255
1000000000000	0.1723	8059
10000000000000	0.1723	8862
