d1	d3	h	sat
0.010000	0.1	1	1.000000
0.010000	0.2	1	1.000000
0.010000	0.3	1	1.000000
0.010000	0.4	1	1.000000
0.010000	0.5	1	0.999999
0.010000	0.6	2	0.999999
0.010000	0.7	2	0.999998
0.010000	0.8	2	0.999998
0.010000	0.9	2	0.999997
0.010000	1.0	2	0.999997
0.010000	1.1	2	0.999996
0.010000	1.2	2	0.999996
0.010000	1.3	2	0.999995
0.010000	1.4	2	0.999995
0.010000	1.5	2	0.999994
0.010000	1.6	2	0.999993
0.010000	1.7	2	0.999992
0.010000	1.8	2	0.999992
0.010000	1.9	2	0.999991
0.010000	2.0	2	0.999990
0.010000	2.1	2	0.999989
0.010000	2.2	2	0.999988
0.010000	2.3	2	0.999987
0.010000	2.4	2	0.999986
0.010000	2.5	2	0.999985
0.010000	2.6	2	0.999984
0.010000	2.7	2	0.999983
0.010000	2.8	2	0.999981
0.010000	2.9	2	0.999980
0.010000	3.0	2	0.999979
0.010000	3.1	2	0.999977
0.010000	3.2	2	0.999976
0.010000	3.3	2	0.999975
0.010000	3.4	2	0.999973
0.010000	3.5	2	0.999972
0.010000	3.6	2	0.999970
0.010000	3.7	2	0.999969
0.010000	3.8	2	0.999967
0.010000	3.9	2	0.999965
0.010000	4.0	2	0.999964
0.010000	4.1	2	0.999962
0.010000	4.2	2	0.999960
0.010000	4.3	2	0.999958
0.010000	4.4	2	0.999956
0.010000	4.5	2	0.999954
0.010000	4.6	2	0.999952
0.010000	4.7	2	0.999950
0.010000	4.8	2	0.999948
0.010000	4.9	2	0.999946
0.010000	5.0	3	0.999939
0.010100	0.1	1	1.000000
0.010100	0.2	1	1.000000
0.010100	0.3	1	1.000000
0.010100	0.4	1	1.000000
0.010100	0.5	2	0.999999
0.010100	0.6	2	0.999999
0.010100	0.7	2	0.999998
0.010100	0.8	2	0.999998
0.010100	0.9	2	0.999997
0.010100	1.0	2	0.999997
0.010100	1.1	2	0.999996
0.010100	1.2	2	0.999996
0.010100	1.3	2	0.999995
0.010100	1.4	2	0.999995
0.010100	1.5	2	0.999994
0.010100	1.6	2	0.999993
0.010100	1.7	2	0.999992
0.010100	1.8	2	0.999991
0.010100	1.9	2	0.999991
0.010100	2.0	2	0.999990
0.010100	2.1	2	0.999989
0.010100	2.2	2	0.999988
0.010100	2.3	2	0.999987
0.010100	2.4	2	0.999986
0.010100	2.5	2	0.999984
0.010100	2.6	2	0.999983
0.010100	2.7	2	0.999982
0.010100	2.8	2	0.999981
0.010100	2.9	2	0.999980
0.010100	3.0	2	0.999978
0.010100	3.1	2	0.999977
0.010100	3.2	2	0.999975
0.010100	3.3	2	0.999974
0.010100	3.4	2	0.999972
0.010100	3.5	2	0.999971
0.010100	3.6	2	0.999969
0.010100	3.7	2	0.999968
0.010100	3.8	2	0.999966
0.010100	3.9	2	0.999964
0.010100	4.0	2	0.999962
0.010100	4.1	2	0.999961
0.010100	4.2	2	0.999959
0.010100	4.3	2	0.999957
0.010100	4.4	2	0.999955
0.010100	4.5	2	0.999953
0.010100	4.6	2	0.999951
0.010100	4.7	2	0.999949
0.010100	4.8	2	0.999947
0.010100	4.9	2	0.999945
0.010100	5.0	3	0.999937
0.010200	0.1	1	1.000000
0.010200	0.2	1	1.000000
0.010200	0.3	1	1.000000
0.010200	0.4	1	1.000000
0.010200	0.5	2	0.999999
0.010200	0.6	2	0.999999
0.010200	0.7	2	0.999998
0.010200	0.8	2	0.999998
0.010200	0.9	2	0.999997
0.010200	1.0	2	0.999997
0.010200	1.1	2	0.999996
0.010200	1.2	2	0.999996
0.010200	1.3	2	0.999995
0.010200	1.4	2	0.999994
0.010200	1.5	2	0.999994
0.010200	1.6	2	0.999993
0.010200	1.7	2	0.999992
0.010200	1.8	2	0.999991
0.010200	1.9	2	0.999990
0.010200	2.0	2	0.999989
0.010200	2.1	2	0.999988
0.010200	2.2	2	0.999987
0.010200	2.3	2	0.999986
0.010200	2.4	2	0.999985
0.010200	2.5	2	0.999984
0.010200	2.6	2	0.999983
0.010200	2.7	2	0.999982
0.010200	2.8	2	0.999980
0.010200	2.9	2	0.999979
0.010200	3.0	2	0.999978
0.010200	3.1	2	0.999976
0.010200	3.2	2	0.999975
0.010200	3.3	2	0.999973
0.010200	3.4	2	0.999972
0.010200	3.5	2	0.999970
0.010200	3.6	2	0.999968
0.010200	3.7	2	0.999967
0.010200	3.8	2	0.999965
0.010200	3.9	2	0.999963
0.010200	4.0	2	0.999961
0.010200	4.1	2	0.999960
0.010200	4.2	2	0.999958
0.010200	4.3	2	0.999956
0.010200	4.4	2	0.999954
0.010200	4.5	2	0.999952
0.010200	4.6	2	0.999950
0.010200	4.7	2	0.999947
0.010200	4.8	2	0.999945
0.010200	4.9	3	0.999938
0.010200	5.0	3	0.999935
0.010300	0.1	1	1.000000
0.010300	0.2	1	1.000000
0.010300	0.3	1	1.000000
0.010300	0.4	1	1.000000
0.010300	0.5	2	0.999999
0.010300	0.6	2	0.999999
0.010300	0.7	2	0.999998
0.010300	0.8	2	0.999998
0.010300	0.9	2	0.999997
0.010300	1.0	2	0.999997
0.010300	1.1	2	0.999996
0.010300	1.2	2	0.999996
0.010300	1.3	2	0.999995
0.010300	1.4	2	0.999994
0.010300	1.5	2	0.999994
0.010300	1.6	2	0.999993
0.010300	1.7	2	0.999992
0.010300	1.8	2	0.999991
0.010300	1.9	2	0.999990
0.010300	2.0	2	0.999989
0.010300	2.1	2	0.999988
0.010300	2.2	2	0.999987
0.010300	2.3	2	0.999986
0.010300	2.4	2	0.999985
0.010300	2.5	2	0.999984
0.010300	2.6	2	0.999982
0.010300	2.7	2	0.999981
0.010300	2.8	2	0.999980
0.010300	2.9	2	0.999978
0.010300	3.0	2	0.999977
0.010300	3.1	2	0.999976
0.010300	3.2	2	0.999974
0.010300	3.3	2	0.999973
0.010300	3.4	2	0.999971
0.010300	3.5	2	0.999969
0.010300	3.6	2	0.999968
0.010300	3.7	2	0.999966
0.010300	3.8	2	0.999964
0.010300	3.9	2	0.999962
0.010300	4.0	2	0.999960
0.010300	4.1	2	0.999958
0.010300	4.2	2	0.999957
0.010300	4.3	2	0.999954
0.010300	4.4	2	0.999952
0.010300	4.5	2	0.999950
0.010300	4.6	2	0.999948
0.010300	4.7	2	0.999946
0.010300	4.8	3	0.999938
0.010300	4.9	3	0.999936
0.010300	5.0	3	0.999933
0.010400	0.1	1	1.000000
0.010400	0.2	1	1.000000
0.010400	0.3	1	1.000000
0.010400	0.4	1	1.000000
0.010400	0.5	2	0.999999
0.010400	0.6	2	0.999999
0.010400	0.7	2	0.999998
0.010400	0.8	2	0.999998
0.010400	0.9	2	0.999997
0.010400	1.0	2	0.999997
0.010400	1.1	2	0.999996
0.010400	1.2	2	0.999996
0.010400	1.3	2	0.999995
0.010400	1.4	2	0.999994
0.010400	1.5	2	0.999993
0.010400	1.6	2	0.999993
0.010400	1.7	2	0.999992
0.010400	1.8	2	0.999991
0.010400	1.9	2	0.999990
0.010400	2.0	2	0.999989
0.010400	2.1	2	0.999988
0.010400	2.2	2	0.999987
0.010400	2.3	2	0.999986
0.010400	2.4	2	0.999984
0.010400	2.5	2	0.999983
0.010400	2.6	2	0.999982
0.010400	2.7	2	0.999981
0.010400	2.8	2	0.999979
0.010400	2.9	2	0.999978
0.010400	3.0	2	0.999976
0.010400	3.1	2	0.999975
0.010400	3.2	2	0.999973
0.010400	3.3	2	0.999972
0.010400	3.4	2	0.999970
0.010400	3.5	2	0.999968
0.010400	3.6	2	0.999967
0.010400	3.7	2	0.999965
0.010400	3.8	2	0.999963
0.010400	3.9	2	0.999961
0.010400	4.0	2	0.999959
0.010400	4.1	2	0.999957
0.010400	4.2	2	0.999955
0.010400	4.3	2	0.999953
0.010400	4.4	2	0.999951
0.010400	4.5	2	0.999949
0.010400	4.6	2	0.999947
0.010400	4.7	2	0.999944
0.010400	4.8	3	0.999937
0.010400	4.9	3	0.999934
0.010400	5.0	3	0.999931
0.010500	0.1	1	1.000000
0.010500	0.2	1	1.000000
0.010500	0.3	1	1.000000
0.010500	0.4	1	1.000000
0.010500	0.5	2	0.999999
0.010500	0.6	2	0.999999
0.010500	0.7	2	0.999998
0.010500	0.8	2	0.999998
0.010500	0.9	2	0.999997
0.010500	1.0	2	0.999997
0.010500	1.1	2	0.999996
0.010500	1.2	2	0.999995
0.010500	1.3	2	0.999995
0.010500	1.4	2	0.999994
0.010500	1.5	2	0.999993
0.010500	1.6	2	0.999992
0.010500	1.7	2	0.999991
0.010500	1.8	2	0.999991
0.010500	1.9	2	0.999990
0.010500	2.0	2	0.999989
0.010500	2.1	2	0.999988
0.010500	2.2	2	0.999986
0.010500	2.3	2	0.999985
0.010500	2.4	2	0.999984
0.010500	2.5	2	0.999983
0.010500	2.6	2	0.999981
0.010500	2.7	2	0.999980
0.010500	2.8	2	0.999979
0.010500	2.9	2	0.999977
0.010500	3.0	2	0.999976
0.010500	3.1	2	0.999974
0.010500	3.2	2	0.999973
0.010500	3.3	2	0.999971
0.010500	3.4	2	0.999969
0.010500	3.5	2	0.999968
0.010500	3.6	2	0.999966
0.010500	3.7	2	0.999964
0.010500	3.8	2	0.999962
0.010500	3.9	2	0.999960
0.010500	4.0	2	0.999958
0.010500	4.1	2	0.999956
0.010500	4.2	2	0.999954
0.010500	4.3	2	0.999952
0.010500	4.4	2	0.999950
0.010500	4.5	2	0.999948
0.010500	4.6	2	0.999945
0.010500	4.7	3	0.999938
0.010500	4.8	3	0.999935
0.010500	4.9	3	0.999932
0.010500	5.0	3	0.999929
0.010600	0.1	1	1.000000
0.010600	0.2	1	1.000000
0.010600	0.3	1	1.000000
0.010600	0.4	1	1.000000
0.010600	0.5	2	0.999999
0.010600	0.6	2	0.999999
0.010600	0.7	2	0.999998
0.010600	0.8	2	0.999998
