n	d1	max_h
10000	0.13	286
100000	0.13	290
1000000	0.13	294
10000000	0.13	298
100000000	0.13	302
1000000000	0.13	306
10000000000	0.19	345
100000000000	0.19	389
1000000000000	0.19	434
10000000000000	0.19	478
